id,incident_title,incident_description,incident_date,location_id,location_name,latitude,longitude,country_id,category_id,category_title,building,landmark,area,city,state,country
1265,commenting,"JUST COMMENTING ON BUS STAND.AT EVENING TIME MOSTLY","06-11-2013 13:05",1626,"Mahipalpur, New Delhi, Delhi, India",28.544869,77.128135,105,2,Commenting,,110037,"Mahipalpur Extension","New Delhi",Delhi,India
1266,"chain snatching","in night my mobile was stolen","06-11-2013 13:07",1627,"Dhaula Kuan, New Delhi, Delhi, India",28.593924,77.164334,105,15,Others,,110010,"Dhaula Kuan Enclave I","New Delhi",Delhi,India
1267,"chain snatching, COMMENTING, OGLING","CANT SPECIFY EXACT LOCATION OR INCIDENT, THESE CASES HAPPEN EVERYDAY IN CAPITAL.","06-11-2013 13:08",1628,"New Delhi, Delhi, India",28.635308,77.22496,105,"2 | 6 | 8 | 10","Commenting | Ogling/Facial Expressions/Staring | Touching /Groping | Sexual Invites",,110006,"Naya Bazar","New Delhi",Delhi,India
1268,touching,"in evening a men was trying to touch a girl and just commenting","06-11-2013 13:08",1629,"Bus Lane, Dhaula Kuan Enclave 2, Dhaula Kuan, New Delhi, Delhi 110010, India",28.599945,77.162073,105,2,Commenting,,110010,"Dhaula Kuan Enclave 2","New Delhi",Delhi,India
1269,commenting,"USUALLY PEOPLE SITTING IDLE, COMMENT ON GIRLS.","06-11-2013 13:09",1630,"Rajiv Chowk Metro Station, Rajiv Chowk, Block A, Connaught Place, New Delhi, Delhi 110001, India",28.632824,77.218259,105,2,Commenting,,110001,"Block B","New Delhi",Delhi,India
1270,commenting,"in night commenting","06-11-2013 13:10",1631,"Samalkha, Haryana, India",29.23417,77.01036,105,2,Commenting,,132101,,Samalkha,Haryana,India
1271,"chain snatching, COMMENTING, OGLING","USUALLY AT NIGHT THIS AREA IS HIGHLY UNSAFE.","06-11-2013 13:11",1632,"Dwarka Sector 8 Metro Station, Sector 21, Dwarka, New Delhi, Delhi 110075",28.56792,77.066406,105,"2 | 6 | 10","Commenting | Ogling/Facial Expressions/Staring | Sexual Invites",,110077,"Sector 21",Delhi,Delhi,India
1272,"chain snatching","in night my chain was snatched","06-11-2013 13:11",1633,"Nelson Mandela Road, New Delhi, Delhi, India",28.541714,77.157661,105,17,"Chain Snatching / Robbery",,110067,,"New Delhi",Delhi,India
1273,commenting,"in evening 12 boys was commenting","06-11-2013 13:13",1634,"Chattarpur, Madhya Pradesh 483220, India",23.285061,80.02904,105,2,Commenting,,483220,,Imlai,"Madhya Pradesh",India
1274,snatching,"AT NIGHT, A GROUP OF YOUNG BOYS WERE FOLLOWING A GIRL AND STOLE HER HAND BAG AN PHONE. LUCKILY THAT GIRL WAS SAFE","06-11-2013 13:12",1635,"Kapashera, New Delhi, Delhi, India",28.52319,77.08179,105,"15 | 17","Others | Chain Snatching / Robbery",,110037,"Kapas Hera Extension","New Delhi",Delhi,India
1275,"chain snatching","in night my chain and phone was snatched","06-11-2013 13:14",1636,"Chawri Bazar, Hauz Qazi Chowk, Lal Kuan Bazar, Indraprastha, New Delhi, Delhi 110006, India",28.649309,77.226365,105,17,"Chain Snatching / Robbery",,110006,"Phatak Badal Beg","New Delhi",Delhi,India
1276,"chain snatching","in the morning i lost my wallet","06-11-2013 13:16",1637,"Dtc Bus Terminal Road, Chatri Wala Kuan, Lado Sarai, New Delhi, Delhi 110016, India",28.523896,77.190902,105,"15 | 17","Others | Chain Snatching / Robbery",,110030,"Chatri Wala Kuan","New Delhi",Delhi,India
1277,touching,"in morning i was standing at bus stop.a guy was staring in a unappropriate manners and was trying to touch my hand and other parts.","06-11-2013 13:13",1638,"Dhaula Kuan Bus Stop, Mahatma Gandhi Road, Dhaula Kuan Enclave I, Dhaula Kuan, New Delhi, Delhi 110021, India",28.590307,77.168433,105,8,"Touching /Groping",,110021,"Dhaula Kuan Enclave I","New Delhi",Delhi,India
1278,others,"i lost my phone and wallet","06-11-2013 13:18",1639,"Dtc Bus Terminal Road, Chatri Wala Kuan, Lado Sarai, New Delhi, Delhi 110016, India",28.523896,77.190902,105,"15 | 17","Others | Chain Snatching / Robbery",,110030,"Chatri Wala Kuan","New Delhi",Delhi,India
1279,commenting,"i lost my wallett in night","06-11-2013 13:19",1640,"Najafgarh, New Delhi, Delhi, India",28.606951,76.990486,105,15,Others,,110043,Dharampura,Delhi,Delhi,India
1280,"SEXUAL INVITES, STALKING,","AT NIGHT, GROUP OF BOYS STALKED ME, AND WHEN I STARTED RUNNING FOR MY SAFETY ,THEY DRAGGED ME DOWN. I STARTED SHOUTING AND CROWD GATHERED , THEY RAN AWAY.","06-11-2013 13:15",1641,"Dhaula Kuan, Bus Lane, Dhaula Kuan I, Delhi Cantonment, New Delhi, Delhi 110010, India",28.598831,77.162647,105,"2 | 6 | 8 | 10","Commenting | Ogling/Facial Expressions/Staring | Touching /Groping | Sexual Invites",,110010,"Dhaula Kuan","New Delhi",Delhi,India
1281,losting,"i lost my phone in night in such crowded place","06-11-2013 13:20",1642,"Market, Udumalaipettai, Tamil Nadu 642126, India",10.580756,77.250008,105,15,Others,,642126,,Udumalaipettai,"Tamil Nadu",India
1282,commenting,"in night i usually face this problem but i ignore this","06-11-2013 13:22",1643,"Boys Sec School, Badli Road, Sector 19, Rohini, New Delhi, Delhi 110042, India",28.732385,77.138761,105,2,Commenting,,110089,"Pocket 8, Block B",Delhi,Delhi,India
1283,snatching,"MY WALLET AND PHONE WAS STOLEN IN THE BUS AND ALSO COMPLAINT BUT BUT THERE WAS NO SUDDEN ACTION","06-11-2013 13:21",1644,"Gurgaon, Haryana, India",28.459497,77.026638,105,15,Others,,122016,"Phase III",Gurugram,Haryana,India
1284,"sexual invites","in night three guys assumed that i am involved me in business of prostitution and started misbehaving i called the police and latter they apologised.","06-11-2013 13:19",1645,"Dhaula Kuan Bus Stop, Mahatma Gandhi Road, Dhaula Kuan Enclave I, Dhaula Kuan, New Delhi, Delhi 110021, India",28.590307,77.168433,105,10,"Sexual Invites",,110021,"Dhaula Kuan Enclave I","New Delhi",Delhi,India
1285,theft,"in night my wallet was stolen","06-11-2013 13:23",1646,"Rohini, New Delhi, Delhi, India",28.737323,77.090981,105,15,Others,,110085,"Pocket 6",Delhi,Delhi,India
1286,commenting,"JUST COMMENTING ON GIRLS AND TRYING TO TOUCH THEM","06-11-2013 13:24",1647,"Jor Bagh, New Delhi, Delhi, India",28.587398,77.216085,105,10,"Sexual Invites",,110003,"Jor Bagh","New Delhi",Delhi,India
1287,theft,"in night my phone was stolen","06-11-2013 13:25",1648,"Uttam Nagar, New Delhi, Delhi, India",28.621272,77.061327,105,15,Others,,110059,"Uttam Nagar",Delhi,Delhi,India
1288,"chain snatching, COMMENTING, OGLING","THIS AREA IS REALLY UNSAFE AT NIGHT","06-11-2013 13:25",1649,"Moti Bagh, New Delhi, Delhi, India",28.581433,77.168647,105,"2 | 6 | 17","Commenting | Ogling/Facial Expressions/Staring | Chain Snatching / Robbery",,110021,"Type IV","New Delhi",Delhi,India
1289,commenting,"in night 2 3guys were commenting on my clothes","06-11-2013 13:25",1650,"AIIMS, AIIMS Campus, Ansari Nagar East, New Delhi, Delhi 110016, India",28.569222,77.212283,105,2,Commenting,,110016,"Ansari Nagar East","New Delhi",Delhi,India
1290,"rape/sexual assault","i night a guy (so called friend) called me home and there tried to rape me but i ran away and was in a mental trauma.","06-11-2013 13:24",1651,"Patel Nagar, New Delhi, Delhi, India",28.650241,77.168647,105,11,"Rape / Sexual Assault",,110008,"Block 19","New Delhi",Delhi,India
1291,touching,"in night a guy tried to touch me","06-11-2013 13:27",1652,"Anand Vihar, New Delhi, Delhi, India",28.6483,77.313776,105,8,"Touching /Groping",,110092,"Isbt Anand Vihar",Delhi,,India
1292,commenting,"in evening a guy was passing a comment","06-11-2013 13:28",1653,"Boys Sec School, Badli Road, Sector 19, Rohini, New Delhi, Delhi 110042, India",28.732385,77.138761,105,2,Commenting,,110089,"Pocket 8, Block B",Delhi,Delhi,India
1293,COMMENTING,"RECENTLY, A RICKSHAW DRIVER STARTED SHOUTING AND COMMENTING AND I THINK HE WAS DRUNK, BUT I SCOLDED HIM . BUT MY SISTER EAS VERY DISTURBED.","06-11-2013 13:26",1654,"Lajpat Nagar, New Delhi, Delhi, India",28.565618,77.243389,105,2,Commenting,,110024,"Block L","New Delhi",Delhi,India
1294,theft,"in night my whole bag was stolen","06-11-2013 13:29",1655,"Southex, South Extension II, New Delhi, Delhi 110049, India",28.564727,77.218959,105,15,Others,,110049,"Block G","New Delhi",Delhi,India
1295,others,"in morning saw an accident resulted in death of 2 people they were on bike fault of bus driver.","06-11-2013 13:27",1656,"Mahipalpur highway road",20.429047,80.149403,105,15,Others,,441217,,"Dongar Tamasi",Maharashtra,India
1296,"STALKING,","A BOY REGULARLY USED TO STALK . ON DAY I WENT AND ASKED HIS PROBLEM, HE SAID NOTHING AND LEFT, NEXT DAY HE DID IT AGAIN. NO SOLUTION","06-11-2013 13:30",1657,"Satya Marg, New Delhi, Delhi",28.586782,77.189688,105,15,Others,,110021,Chanakyapuri,"New Delhi",Delhi,India
1297,commenting,"in night a boy was commenting","06-11-2013 13:31",1658,"INA Market, Laxmi Bai Nagar, New Delhi, Delhi 110029",28.579391,77.208479,105,2,Commenting,,110023,"Laxmi Bai Nagar","New Delhi",Delhi,India
1298,others,"in night to guys on a bike were following a girl on rickshaw and passing vulgar comments.","06-11-2013 13:31",1659,"Institute of Road Safety and Fleet Management, National Highway 8, Milakpur Kohi Rangpuri, Mahipalpur, New Delhi, Delhi 110037, India",28.542526,77.118536,105,15,Others,,110037,"Block R","New Delhi",Delhi,India
1299,"COMMENTING, OGLING","ME AND MY FRIENDS USED TO FACE IT EVERYDAY, WHEN WE HAD CLASSES THERE.","06-11-2013 13:32",1660,"Uttam Nagar, JJ Colony, Uttam Nagar, New Delhi, Delhi 110059",28.624855,77.065946,105,"2 | 6","Commenting | Ogling/Facial Expressions/Staring",,110059,"Block D",Delhi,Delhi,India
1300,commenting,"in night a group of boys was conmmenting on me","06-11-2013 13:32",1661,"Mahipalpur, New Delhi, Delhi, India",28.544869,77.128134,105,2,Commenting,,110037,"Mahipalpur Extension","New Delhi",Delhi,India
1301,others,"in evening a guy stole my voilet","06-11-2013 13:34",1662,"Dtc Bus Terminal Road, Chatri Wala Kuan, Lado Sarai, New Delhi, Delhi 110016, India",28.523896,77.190902,105,15,Others,,110030,"Chatri Wala Kuan","New Delhi",Delhi,India
1302,commenting,"MY SISTER FELT UNCOMFORTABLE WHILE COMING BACK HOME AT NIGHT FROM WORK, AS NO STREET LIGHTS THERE","06-11-2013 13:34",1663,"Nelson Mandela Road, New Delhi, Delhi, India",28.541714,77.157661,105,2,Commenting,,110067,,"New Delhi",Delhi,India
1303,touching/groping,"in morning i was standing at bus stop a guy was starting in a unappropriate manner,and was trying to touch my hand and other parts.","06-11-2013 13:35",1664,"Dhaula Kuan Bus Stop, Mahatma Gandhi Road, Dhaula Kuan Enclave I, Dhaula Kuan, New Delhi, Delhi 110021, India",28.590307,77.168433,105,8,"Touching /Groping",,110021,"Dhaula Kuan Enclave I","New Delhi",Delhi,India
1304,"sexual invites","A GUY ACTUALLY STOPPED HIS CAR AND FORCED ME TO GET INSIDE , BUT I STARTED SHOUTING BADLY,","06-11-2013 13:37",1665,"Rajokari Crossing, Samalka, New Delhi, Delhi 110037",28.522534,77.098609,105,"6 | 8 | 10","Ogling/Facial Expressions/Staring | Touching /Groping | Sexual Invites",,110037,"D Block","New Delhi",Delhi,India
1305,OGLING,"GUYS STARING THERE, MAKES UNCOMFORTABLE","06-11-2013 13:41",1666,"Dwarka Road, New Delhi, Delhi, India",28.57808,77.106564,105,"2 | 6 | 8","Commenting | Ogling/Facial Expressions/Staring | Touching /Groping",,110010,Prahladpur,"New Delhi",Delhi,India
1306,",COMMENTING, OGLING","AT NIGHT, I DID NOT FELT SAFE EVENTUALLY CHANGED MY SHIFT","06-11-2013 13:43",1667,"P S Mayapuri, Satguru Ram Singh Marg, Nanak Pura, Hari Nagar, New Delhi, Delhi 110064, India",28.625232,77.119641,105,"2 | 8 | 15","Commenting | Touching /Groping | Others",,110064,"Nanak Pura","New Delhi",Delhi,India
